0.45*0(0),0.3*0(0),0.15*0(0),0.1*39(0),0.045*4(0),0.015*22(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*27(0),0.045*6(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*12(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*31(0),0.045*15(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*18(0),0.045*8(0),0.015*49(0)
0.45*0(0),0.3*0(0),0.15*12(0),0.1*26(0),0.045*6(0),0.015*21(0)
0.45*0(0),0.3*5(0),0.15*0(0),0.1*29(0),0.045*22(0),0.015*2(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*22(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*18(0),0.1*10(0),0.045*25(0),0.015*13(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*13(0),0.045*34(0),0.015*15(0)
0.45*0(0),0.3*4(0),0.15*1(0),0.1*36(0),0.045*20(0),0.015*7(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*16(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*71(0),0.045*2(0),0.015*0(0)
